            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
3625,      25246640,       2772381,            11,     173410629,      11799817,            71,     366195886,      71725998,           181,     267529690,      36999029,           125
3626,      25260674,       2773961,            12,     173511636,      11806401,            70,     366410974,      71768180,           180,     267685231,      37020832,           123
3627,      25274711,       2775541,            14,     173612516,      11812908,           114,     366626107,      71810370,           180,     267840783,      37042630,           125
3628,      25288751,       2777121,            12,     173713211,      11819379,            72,     366841360,      71852587,           187,     267996365,      37064420,           124
3629,      25302794,       2778701,            12,     173814275,      11825891,            75,     367056659,      71894811,           190,     268152001,      37086228,           125
3630,      25316840,       2780281,            12,     173915486,      11832412,            73,     367272032,      71937052,           187,     268307677,      37108028,           124
3631,      25330893,       2781863,            12,     174016326,      11838862,            75,     367487461,      71979304,           192,     268463381,      37129837,           154
3632,      25344949,       2783445,            12,     174117180,      11845313,            74,     367702942,      72021562,           188,     268619200,      37151684,           125
3633,      25359008,       2785027,            12,     174218415,      11851891,            74,     367918468,      72063828,           187,     268775053,      37173531,           132
3634,      25373072,       2786610,            14,     174319573,      11858429,            73,     368134088,      72106117,           188,     268930915,      37195374,           132
3635,      25387141,       2788194,            12,     174420683,      11864974,            80,     368349740,      72148408,           188,     269086796,      37217200,           126
3636,      25401213,       2789778,            12,     174521680,      11871468,            72,     368565471,      72190714,           191,     269242729,      37239042,           125
3637,      25415292,       2791364,            12,     174622927,      11877991,            76,     368781288,      72233040,           188,     269398743,      37260911,           126
3638,      25429374,       2792950,            12,     174724261,      11884537,            74,     368997144,      72275370,           192,     269554805,      37282779,           150
3639,      25443459,       2794536,            13,     174825645,      11891108,            73,     369213089,      72317722,           189,     269710908,      37304655,           127
3640,      25457547,       2796122,            13,     174926991,      11897667,            74,     369429090,      72360084,           190,     269867089,      37326552,           138
3641,      25471638,       2797708,            12,     175028102,      11904186,            74,     369645161,      72402460,           189,     270023298,      37348448,           126
3642,      25485732,       2799294,            13,     175129303,      11910746,            73,     369861300,      72444848,           188,     270179549,      37370340,           145
3643,      25499829,       2800880,            12,     175230810,      11917312,            83,     370077454,      72487235,           189,     270335829,      37392232,           131
