            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
8787,  112658201772,   56271242047,         13284,    1909472140,     174137428,           486,    2288298423,     444611110,           638,    2107375162,     429669003,           730
8788,  112696723713,   56290489842,         13188,    1909936370,     174178915,           503,    2288850600,     444718577,           602,    2107879929,     429773111,           714
8789,  112735249575,   56309739596,         13130,    1910383998,     174220104,           503,    2289402926,     444826079,           605,    2108384824,     429877245,           716
8790,  112773777472,   56328990366,         13161,    1910840683,     174261386,           500,    2289954857,     444933480,           614,    2108889699,     429981388,           705
8791,  112812312718,   56348244809,         13239,    1911290690,     174302509,           496,    2290506903,     445040885,           592,    2109394660,     430085529,           718
8792,  112850857079,   56367503808,         13034,    1911747572,     174343471,           492,    2291059035,     445148344,           593,    2109899669,     430189656,           703
8793,  112889410775,   56386767473,         13089,    1912200586,     174384670,           512,    2291611234,     445255795,           618,    2110404802,     430293825,           731
8794,  112927977270,   56406037536,         13521,    1912650936,     174426041,           524,    2292163373,     445363221,           632,    2110909913,     430397997,           733
8795,  112966545400,   56425308415,         13318,    1913111330,     174466856,           516,    2292715968,     445470759,           620,    2111415103,     430502185,           756
8796,  113005127615,   56444586335,         13316,    1913572482,     174507617,           497,    2293268672,     445578338,           600,    2111920444,     430606395,           711
8797,  113043710907,   56463864792,         13130,    1914029899,     174548645,           514,    2293821389,     445685931,           616,    2112425857,     430710639,           733
8798,  113082309280,   56483150788,         13796,    1914493575,     174589702,           511,    2294374192,     445793514,           612,    2112931357,     430814919,           705
8799,  113120911018,   56502438465,         13261,    1914950861,     174630821,           526,    2294927037,     445901106,           626,    2113436818,     430919169,           736
8800,  113159526689,   56521733107,         13153,    1915412020,     174672089,           497,    2295479771,     446008673,           600,    2113942541,     431023493,           713
8801,  113198157867,   56541035501,         13730,    1915881413,     174712903,           524,    2296032598,     446116247,           861,    2114448325,     431127829,           741
8802,  113236804854,   56560345798,         13985,    1916346000,     174753779,           693,    2296585619,     446223868,           882,    2114954087,     431232135,          1014
8803,  113275452894,   56579656620,         19117,    1916805031,     174794876,           558,    2297138802,     446331520,           641,    2115459949,     431336479,           754
8804,  113314104481,   56598969214,         13431,    1917264258,     174835918,           493,    2297692011,     446439180,           616,    2115965717,     431440783,           704
8805,  113352760791,   56618284168,         13514,    1917731000,     174876861,           602,    2298245228,     446546845,           625,    2116471542,     431545093,           771
8806,  113391431108,   56637606124,         13417,    1918183000,     174918150,           514,    2298798548,     446654539,           621,    2116977384,     431649414,           737
8807,  113430103100,   56656928916,         13389,    1918627260,     174959764,           516,    2299351953,     446762244,           617,    2117483482,     431753797,           725
8808,  113468781035,   56676254678,         13605,    1919072852,     175001307,           519,    2299905457,     446869968,           626,    2117989521,     431858158,           700
8809,  113507467693,   56695584800,         13862,    1919530071,     175042516,           547,    2300459243,     446977745,           620,    2118495637,     431962528,           737
8810,  113546169054,   56714922272,         14444,    1919985842,     175083718,           517,    2301012924,     447085508,           631,    2119001822,     432066923,           746
8811,  113584872696,   56734260883,         14178,    1920454945,     175124998,           519,    2301566576,     447193268,           624,    2119508207,     432171373,           745
8812,  113623593765,   56753608206,         13388,    1920941050,     175165804,           530,    2302119984,     447300968,           648,    2120014472,     432275796,           741
8813,  113662324201,   56772960211,         13704,    1921410350,     175206775,           518,    2302673982,     447408795,           618,    2120520783,     432380216,           709
8814,  113701069184,   56792319488,         13928,    1921883062,     175247628,           535,    2303227791,     447516556,           622,    2121027130,     432484648,           733
8815,  113739822060,   56811682710,         13086,    1922338968,     175289091,           525,    2303781717,     447624355,           624,    2121533593,     432589100,           733
8816,  113778581267,   56831049096,         14045,    1922790451,     175330360,           515,    2304335752,     447732180,           623,    2122040353,     432693663,           735
8817,  113817341053,   56850415770,         13435,    1923253244,     175371512,           512,    2304889928,     447840042,           604,    2122547103,     432798214,           739
8818,  113856105738,   56869784892,         13737,    1923716984,     175412509,           509,    2305444250,     447947933,           623,    2123053933,     432902811,           741
8819,  113894887336,   56889162469,         13643,    1924181592,     175453699,           542,    2305998710,     448055853,           622,    2123561021,     433007498,           733
8820,  113933681893,   56908546524,         15179,    1924637656,     175495105,           498,    2306553071,     448163741,           591,    2124067957,     433112082,          1226
8821,  113972480485,   56927932595,         13657,    1925097444,     175536431,           514,    2307107298,     448271604,           619,    2124574928,     433216661,           721
8822,  114011284696,   56947321474,         13528,    1925571581,     175577870,           502,    2307661549,     448379470,           622,    2125081990,     433321298,           734
8823,  114050090630,   56966711213,         13498,    1926035415,     175618851,           510,    2308216056,     448487395,           622,    2125589117,     433425948,           730
