"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.018290042E0,-2.992277527E-1,9.798473969E0,-1.411564636E-1,9.804058063E0
2.028320042E0,-3.034190369E-1,9.809401245E0,-1.529818726E-1,9.815284986E0
2.038350042E0,-3.129991150E-1,9.820178833E0,-1.562750244E-1,9.826408430E0
2.048380042E0,-3.146456909E-1,9.813293152E0,-1.531315613E-1,9.819530216E0
2.058410042E0,-3.162922668E-1,9.811796265E0,-1.468446350E-1,9.817991143E0
2.068440042E0,-3.144960022E-1,9.799671478E0,-1.384620667E-1,9.805694293E0
2.078470042E0,-3.125500488E-1,9.797725525E0,-1.330732727E-1,9.803612675E0
2.088500042E0,-3.107537842E-1,9.788145447E0,-1.318757629E-1,9.793965000E0
2.098530042E0,-3.152444458E-1,9.788444824E0,-1.353186035E-1,9.794454669E0
2.108560042E0,-3.073109436E-1,9.793683929E0,-1.796264648E-1,9.800150539E0
2.118590042E0,-3.115022278E-1,9.803114319E0,-1.773811340E-1,9.809666052E0
2.128620042E0,-3.213816833E-1,9.785451050E0,-1.577719116E-1,9.791998285E0
2.138650042E0,-3.282673645E-1,9.797276459E0,-1.395098877E-1,9.803767056E0
2.148680042E0,-3.159928894E-1,9.802365875E0,-1.207987976E-1,9.808201701E0
2.158710042E0,-3.225791931E-1,9.807904358E0,-1.071771240E-1,9.813792955E0
2.168741042E0,-3.170407104E-1,9.814041595E0,-1.124162292E-1,9.819804716E0
2.178771042E0,-3.125500488E-1,9.800868988E0,-1.372645569E-1,9.806812021E0
2.188801042E0,-3.118016052E-1,9.793833618E0,-2.046244812E-1,9.800932015E0
2.198831042E0,-3.200344849E-1,9.797126770E0,-1.981878662E-1,9.804355841E0
2.208861042E0,-3.192860413E-1,9.787546692E0,-1.683998108E-1,9.794200954E0
2.218891042E0,-3.088078308E-1,9.800120544E0,-1.204994202E-1,9.805725117E0
2.228921042E0,-3.141966248E-1,9.808952179E0,-5.792953491E-2,9.814153973E0
2.238951542E0,-3.186872864E-1,9.815987549E0,-8.143066406E-2,9.821497040E0
2.248981542E0,-3.098556519E-1,9.813143463E0,-1.303788757E-1,9.818899827E0
2.259011542E0,-3.037184143E-1,9.798024902E0,-1.707948303E-1,9.804218874E0
2.269041542E0,-3.044668579E-1,9.788295135E0,-2.047741699E-1,9.795169942E0
2.279071542E0,-3.094065857E-1,9.794582062E0,-2.056723022E-1,9.801625952E0
