"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.136081583E0,8.427474976E-2,7.259902954E-2,9.850565643E0,9.851193651E0
2.146051583E0,9.475296021E-2,6.825805664E-2,9.845027161E0,9.845719734E0
2.156020583E0,7.948471069E-2,8.023315430E-2,9.843679962E0,9.844327828E0
2.165989583E0,8.472381592E-2,7.828720093E-2,9.845326538E0,9.846002318E0
2.175959583E0,8.891510010E-2,8.622070312E-2,9.850715332E0,9.851493920E0
2.185928583E0,8.098159790E-2,8.622070312E-2,9.842781830E0,9.843492580E0
2.195897583E0,8.696914673E-2,8.786727905E-2,9.842033386E0,9.842809836E0
2.205866583E0,7.679031372E-2,8.607101440E-2,9.839788055E0,9.840464112E0
2.215835583E0,8.277786255E-2,7.664062500E-2,9.832004242E0,9.832651391E0
2.225803583E0,8.622070312E-2,6.990463257E-2,9.835896149E0,9.836522440E0
2.235772583E0,7.035369873E-2,7.259902954E-2,9.843979340E0,9.844498438E0
2.245741583E0,6.975494385E-2,7.095245361E-2,9.835297394E0,9.835800670E0
2.255709583E0,7.948471069E-2,6.646179199E-2,9.839488678E0,9.840034168E0
2.265678583E0,9.220825195E-2,6.676116943E-2,9.845476227E0,9.846134345E0
2.275647583E0,8.681945801E-2,6.990463257E-2,9.840536499E0,9.841167759E0
2.285616583E0,8.831634521E-2,7.708969116E-2,9.846524048E0,9.847221863E0
2.295585583E0,8.966354370E-2,7.694000244E-2,9.851014709E0,9.851723206E0
2.305553583E0,8.951385498E-2,8.262817383E-2,9.840835876E0,9.841589856E0
2.315522583E0,8.996292114E-2,8.427474976E-2,9.847871246E0,9.848642731E0
2.325491583E0,8.547225952E-2,7.978408813E-2,9.840536499E0,9.841231102E0
2.335459583E0,8.666976929E-2,8.307723999E-2,9.837692413E0,9.838424950E0
2.345428042E0,8.113128662E-2,8.487350464E-2,9.824220428E0,9.824922026E0
2.355397042E0,7.409591675E-2,7.963439941E-2,9.833351440E0,9.833953040E0
2.365366042E0,7.170089722E-2,7.140151978E-2,9.831255798E0,9.831776532E0
2.375334042E0,7.664062500E-2,7.080276489E-2,9.816137238E0,9.816691759E0
2.385302042E0,8.098159790E-2,6.496490479E-2,9.837842102E0,9.838389893E0
2.395271042E0,8.666976929E-2,7.424560547E-2,9.831106110E0,9.831768478E0
2.405240042E0,8.726852417E-2,7.768844604E-2,9.838590546E0,9.839284284E0
2.415209042E0,9.639953613E-2,7.274871826E-2,9.846823425E0,9.847564004E0
2.425178042E0,8.337661743E-2,7.694000244E-2,9.846074982E0,9.846728592E0
2.435148042E0,7.723937988E-2,8.262817383E-2,9.837542725E0,9.838192933E0
2.445118042E0,8.487350464E-2,8.277786255E-2,9.831854553E0,9.832569331E0
2.455087042E0,9.280700684E-2,8.367599487E-2,9.842033386E0,9.842826626E0
2.465056042E0,8.247848511E-2,8.098159790E-2,9.835147705E0,9.835826915E0
2.475026042E0,6.391708374E-2,7.334747314E-2,9.840985565E0,9.841466463E0
2.484995042E0,7.065307617E-2,7.679031372E-2,9.831854553E0,9.832408279E0
2.494964042E0,7.529342651E-2,7.289840698E-2,9.833800507E0,9.834358936E0
2.504933042E0,7.634124756E-2,6.436614990E-2,9.836045837E0,9.836552684E0
2.514903042E0,7.918533325E-2,7.604187012E-2,9.834099884E0,9.834712665E0
2.524872042E0,8.202941895E-2,7.768844604E-2,9.843679962E0,9.844328292E0
2.534841042E0,7.753875732E-2,8.936416626E-2,9.837991791E0,9.838703202E0
2.544810042E0,8.113128662E-2,8.322692871E-2,9.827064514E0,9.827751827E0
2.554780042E0,8.771759033E-2,7.694000244E-2,9.839039612E0,9.839731430E0
